,country_name,location
273,Thailand,hua hin
274,Spain,huelva
275,Hungary,hungary
276,Portugal,idanha nova
277,United Kingdom,ilkley
278,India,india
279,United States,indian wells
280,indian wells masters,indian wells masters
281,Indonesia,indonesia
282,India,indore
283,United States,iowa city
284,Iran,iran
285,Ireland,ireland
286,Ukraine,irpin
287,United States of America,irving
288,Germany,ismaning
289,Israel,israel
290,Turkey,istanbul
291,Italy,italy
292,Turkey,izmir
293,Czechia,jablonec nad nisou
294,Indonesia,jakarta
295,Japan,japan
296,Jersey,jersey
297,Israel,jerusalem
298,China,jinan
299,South Africa,johannesburg
300,Sweden,jonkoping
301,Lebanon,jounieh
302,Peru,junin
303,Germany,kaarst
304,Sweden,kalmar
305,Germany,kaltenkirchen
306,Germany,kamen
307,Uganda,kampala
308,Taiwan,kaohsiung
309,Sweden,karlskrona
310,Germany,karlsruhe
311,Uzbekistan,karshi
312,Japan,karuizawa
313,Japan,kashiwa
314,Germany,kassel
315,Kazakhstan,kazakhstan
316,Russia,kazan
317,Morocco,kenitra
318,Israel,kiryat shmona
319,Bosnia and Herzegovina,kiseljak
320,Austria,kitzbuhel
321,United States of America,knoxville
322,Japan,kobe
323,Germany,koblenz
324,Japan,kofu
325,Belgium,koksijde
326,India,kolkata
327,South Korea,korea
328,Slovakia,kosice
329,Poland,koszalin
330,Austria,kramsach
331,Malaysia,kuala lumpur
332,China,kunming
333,China,kunshan
334,Kuwait,kuwait
335,Japan,kyoto
336,Nigeria,lagos
337,United States of America,lahaina
338,Paraguay,lambare
339,Belgium,lambermont
340,Laos,laos
341,Italy,laquila
342,Spain,las palmas gran canaria
343,United States of America,las vegas
344,Belgium,lasne
345,Latvia,latvia
346,Australia,launceston
347,Lebanon,lebanon
348,United States,leon
349,Russia,lermontov
350,United States,lexington
351,Czechia,liberec
352,France,lille
353,Peru,lima
354,Portugal,lisboa
355,Portugal,lisbon
356,Lithuania,lithuania
357,United States,little rock
358,China,liuzhou
359,Slovenia,ljubljana
360,United Kingdom,london
361,United Kingdom,london olympics
362,United States of America,los angeles
363,Mexico,los cabos
364,United Kingdom,loughborough
365,Portugal,loule
366,China,luan
367,Germany,ludwigshafen
368,Switzerland,lugano
369,China,luzhou
370,France,lyon
371,North Macedonia,macedonia
372,Spain,madrid
373,Spain,madrid masters
374,Portugal,maia
375,Spain,majadahonda
376,Malaysia,malaysia
377,Uruguay,maldonado
378,United States,malibu
379,Spain,mallorca
380,Spain (territorial waters),manacor
381,Bahrain,manama
382,United Kingdom,manchester
383,Italy,manerbio
384,Philippines,manila
385,Italy,manta
386,Mozambique,maputo
387,Spain,marbella
388,Germany,marburg
389,Morocco,marrakech
390,France,marsa
391,France,marseille
392,Spain,martos
393,Japan,matsuyama
394,United States of America (Middle Hawai'ian Islands territorial waters),maui
395,Colombia,medellin
396,Germany,meerbusch
397,Morocco,meknes
398,Australia,melbourne
399,Spain,melilla
400,United States of America,memphis
401,Argentina,mendoza
402,Turkey,mersin
403,Lebanon,meshref
404,Italy,mestre
405,France,metz
406,Mexico,mexico
407,Mexico,mexico city
408,United States,miami masters
409,Italy,milan
410,Australia,mildura
411,Czechia,milovice
412,Belarus,minsk
413,Morocco,mohammedia
414,Tunisia,monastir
415,Belgium,mons
416,France,montauban
417,monte carlo masters,monte carlo masters
418,Mexico,monterrey
419,Uruguay,montevideo
420,France,montpellier
421,Italy,monza
422,Mexico,morelos
423,Australia,mornington
424,Morocco,morocco
425,Russia,moscow
426,Czechia,most
427,France,mouilleron captif
428,mouilleronlecaptif,mouilleronlecaptif
429,Mozambique,mozambique
430,France,mulhouse
431,Germany,munich
432,Spain,murcia
433,Uzbekistan,namangan
434,China,nanchang
435,China,nang
436,China,nanjing
437,United States,napa
438,Italy,naples
439,Italy,napoli
440,Israel,netanya
441,Netherlands,netherlands
442,France,nevers
443,India,new delhi
444,United States of America,new haven
445,United States of America,new york
446,New Zealand,new zealand
447,United States of America,newport
448,United States of America,newport beach
449,next gen finals,next gen finals
450,Nicaragua,nicaragua
451,France,nice
452,Nigeria,nigeria
453,China,ningbo
454,Japan,nishi tama
455,Japan,nishi tokyo
456,Thailand,nonthaburi
457,United States of America,norman
458,Norway,norway
459,United Kingdom,nottingham
460,New Caledonia,noumea
461,Serbia,novi sad
462,Spain,nules
463,Kazakhstan,nursultan
464,Germany,nussloch
465,Switzerland,oberentfelden
466,Germany,oberstaufen
467,United States,ojai
468,The Netherlands,oldenzaal
469,Portugal,oliveira azemeis
470,Czechia,olomouc
471,Croatia,opatija
472,Czech Republic,opava
473,Poland,open
474,United States,orange park
475,Italy,orbetello
476,United States of America,orlando
477,Canada,orleans
478,Italy,ortisei
479,Norway,oslo
480,Czechia,ostrava
481,Spain,oviedo
482,Italy,padova
483,Finland,pajulahti
484,Pakistan,pakistan
485,Italy,palermo
486,United States of America,palm coast
487,Spain,palma del rio
488,Italy,palmanova
489,Panama,panama
490,Panama,panama city
491,Paraguay,paraguay
492,Czechia,pardubice
493,United States of America,paris masters
494,Italy,parma
495,Estonia,parnu
496,France,pau
497,Colombia,paz
498,United States of America,pensacola
499,Russia,penza
500,Colombia,pereira
501,Peru,peru
502,Italy,perugia
503,Luxembourg,petange
504,Philippines,philippines
505,United States of America,phoenix
506,Slovakia,piestany
507,Argentina,pinamar
508,China,pingguo
509,Italy,piombino
510,Romania,pitesti
511,United States,pittsburgh
512,France,plaisir
513,Australia,playford
514,Bulgaria,plovdiv
515,France,poitiers
516,Poland,poland
517,Italy,pontedera
518,Slovakia,poprad
519,Slovakia,poprad tatry
520,popradtatry,popradtatry
521,Croatia,porec
522,Portugal,portimao
523,Portugal,porto
524,Brazil,porto alegre
525,Slovenia,portoroz
526,Ecuador,portoviejo
527,Portugal,portugal
528,potro alegre,potro alegre
529,Poland,poznan
530,Spain,pozoblanco
531,Czech Republic,prague
532,South Africa,pretoria
533,Bosnia and Herzegovina,prijedor
534,Czech Republic,prostejov
535,Mexico,puebla
536,United States,puerto rico
